Index,Position,Team,Played,Won,Drawn,Lost,Goals for,Goals against,Goal difference,Points,Group
URG,1,Uruguay,3,3,0,0,5,0,5,9,A
RUS,2,Russia(H),3,2,0,1,8,4,4,6,A
KSA,3,Saudi Arabia,3,1,0,2,2,7,−5,3,A
EGY,4,Egypt,3,0,0,3,2,6,−4,0,A
ESP,1,Spain,3,1,2,0,6,5,1,5,B
POR,2,Portugal,3,1,2,0,5,4,1,5,B
IRN,3,Iran,3,1,1,1,2,2,0,4,B
MOR,4,Morocco,3,0,1,2,2,4,−2,1,B
FRA,1,France,3,2,1,0,3,1,2,7,C
DEN,2,Denmark,3,1,2,0,2,1,1,5,C
PER,3,Peru,3,1,0,2,2,2,0,3,C
AUS,4,Australia,3,0,1,2,2,5,−3,1,C
CRO,1,Croatia,3,3,0,0,7,1,6,9,D
ARG,2,Argentina,3,1,1,1,3,5,−2,4,D
NIG,3,Nigeria,3,1,0,2,3,4,−1,3,D
ICL,4,Iceland,3,0,1,2,2,5,−3,1,D
BRA,1,Brazil,3,2,1,0,5,1,4,7,E
SWI,2,Switzerland,3,1,2,0,5,4,1,5,E
SRB,3,Serbia,3,1,0,2,2,4,−2,3,E
COR,4,Costa Rica,3,0,1,2,2,5,−3,1,E
SWE,1,Sweden,3,2,0,1,5,2,3,6,F
MEX,2,Mexico,3,2,0,1,3,4,−1,6,F
KOR,3,South Korea,3,1,0,2,3,3,0,3,F
GER,4,Germany,3,1,0,2,2,4,−2,3,F
BEL,1,Belgium,3,3,0,0,9,2,7,9,G
ENG,2,England,3,2,0,1,8,3,5,6,G
TUN,3,Tunisia,3,1,0,2,5,8,−3,3,G
PAN,4,Panama,3,0,0,3,2,11,−9,0,G
COL,1,Colombia,3,2,0,1,5,2,3,6,H
JPN,2,Japan,3,1,1,1,4,4,0,4[a],H
SEN,3,Senegal,3,1,1,1,4,4,0,4[a],H
POL,4,Poland,3,1,0,2,2,5,−3,3,H
